experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
4.01,multiclass,Logistic Regression,"(12, 398)",100,0.2,1,0.01,0.01,none,0,100000,0.166666667,species_recall
4.01,multiclass,Logistic Regression,"(12, 525)",100,0.2,2,0.01,0.01,none,0,100000,0.333333333,species_recall
4.01,multiclass,Logistic Regression,"(12, 432)",100,0.2,4,0.01,0.01,none,0,100000,0.333333333,species_recall
4.01,multiclass,Logistic Regression,"(12, 287)",100,0.2,6,0.01,0.01,none,0,100000,0.166666667,species_recall
4.01,multiclass,Logistic Regression,"(12, 216)",100,0.2,8,0.01,0.01,none,0,100000,0.166666667,species_recall
4.01,multiclass,Logistic Regression,"(12, 180)",100,0.2,10,0.01,0.01,none,0,100000,0.166666667,species_recall
4.01,multiclass,Logistic Regression,"(12, 144)",100,0.2,12,0.01,0.01,none,0,100000,0.166666667,species_recall
4.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,none,0,100000,0.172413793,species_recall
4.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,none,0,100000,0.310344828,species_recall
4.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,none,0,100000,0.172413793,species_recall
4.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,none,0,100000,0.206896552,species_recall
4.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,none,0,100000,0.206896552,species_recall
4.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,none,0,100000,0.206896552,species_recall
4.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,none,0,100000,0.172413793,species_recall
4.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,none,0,100000,0.403703704,species_recall
4.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,none,0,100000,0.437037037,species_recall
4.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,none,0,100000,0.344444444,species_recall
4.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,none,0,100000,0.296296296,species_recall
4.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,none,0,100000,0.3,species_recall
4.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,none,0,100000,0.222222222,species_recall
4.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,none,0,100000,0.255555556,species_recall
4.04,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,none,0,100000,0.357275772,species_recall
4.04,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,none,0,100000,0.493859323,species_recall
4.04,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,none,0,100000,0.737997767,species_recall
4.04,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,none,0,100000,0.688128024,species_recall
4.04,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,none,0,100000,0.627093413,species_recall
4.04,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,none,0,100000,0.642724228,species_recall
4.04,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,none,0,100000,0.634536658,species_recall
4.05,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,none,0,100000,0.171380722,species_recall
4.05,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,none,0,100000,0.438593227,species_recall
4.05,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,none,0,100000,0.891700782,species_recall
4.05,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,none,0,100000,0.869184965,species_recall
4.05,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,none,0,100000,0.834387793,species_recall
4.05,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.01,0.01,none,0,100000,0.827502791,species_recall
4.05,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,none,0,100000,0.834015631,species_recall
4.02,multiclass,Logistic Regression,"(9, 773)",200,0.3,1,0.01,0.01,none,0,100000,0,species_recall
4.02,multiclass,Logistic Regression,"(9, 907)",200,0.3,2,0.01,0.01,none,0,100000,0,species_recall
4.02,multiclass,Logistic Regression,"(9, 672)",200,0.3,4,0.01,0.01,none,0,100000,0,species_recall
4.02,multiclass,Logistic Regression,"(9, 462)",200,0.3,6,0.01,0.01,none,0,100000,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 350)",200,0.3,8,0.01,0.01,none,0,100000,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 280)",200,0.3,10,0.01,0.01,none,0,100000,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 224)",200,0.3,12,0.01,0.01,none,0,100000,0.2,species_recall
4.02,multiclass,Logistic Regression,"(29, 800)",200,1,1,0.01,0.01,none,0,100000,0.333333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 1444)",200,1,2,0.01,0.01,none,0,100000,0.266666667,species_recall
4.02,multiclass,Logistic Regression,"(29, 1910)",200,1,4,0.01,0.01,none,0,100000,0.133333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 1429)",200,1,6,0.01,0.01,none,0,100000,0.066666667,species_recall
4.02,multiclass,Logistic Regression,"(29, 1096)",200,1,8,0.01,0.01,none,0,100000,0.133333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 878)",200,1,10,0.01,0.01,none,0,100000,0.133333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 703)",200,1,12,0.01,0.01,none,0,100000,0.066666667,species_recall
4.02,multiclass,Logistic Regression,"(274, 800)",200,10,1,0.01,0.01,none,0,100000,0.474074074,species_recall
4.02,multiclass,Logistic Regression,"(274, 1600)",200,10,2,0.01,0.01,none,0,100000,0.385185185,species_recall
4.02,multiclass,Logistic Regression,"(274, 9082)",200,10,4,0.01,0.01,none,0,100000,0.325925926,species_recall
4.02,multiclass,Logistic Regression,"(274, 11985)",200,10,6,0.01,0.01,none,0,100000,0.348148148,species_recall
4.02,multiclass,Logistic Regression,"(274, 9852)",200,10,8,0.01,0.01,none,0,100000,0.281481481,species_recall
4.02,multiclass,Logistic Regression,"(274, 7945)",200,10,10,0.01,0.01,none,0,100000,0.244444444,species_recall
4.02,multiclass,Logistic Regression,"(274, 6361)",200,10,12,0.01,0.01,none,0,100000,0.281481481,species_recall
4.03,multiclass,Logistic Regression,"(8, 1547)",400,0.5,1,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 1721)",400,0.5,2,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 1244)",400,0.5,4,0.01,0.01,none,0,100000,0,species_recall
4.03,multiclass,Logistic Regression,"(8, 855)",400,0.5,6,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 650)",400,0.5,8,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 520)",400,0.5,10,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 429)",400,0.5,12,0.01,0.01,none,0,100000,0.2,species_recall
4.03,multiclass,Logistic Regression,"(15, 1592)",400,1,1,0.01,0.01,none,0,100000,0.25,species_recall
4.03,multiclass,Logistic Regression,"(15, 2327)",400,1,2,0.01,0.01,none,0,100000,0.25,species_recall
4.03,multiclass,Logistic Regression,"(15, 2146)",400,1,4,0.01,0.01,none,0,100000,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 1511)",400,1,6,0.01,0.01,none,0,100000,0,species_recall
4.03,multiclass,Logistic Regression,"(15, 1150)",400,1,8,0.01,0.01,none,0,100000,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 920)",400,1,10,0.01,0.01,none,0,100000,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 759)",400,1,12,0.01,0.01,none,0,100000,0.125,species_recall
4.03,multiclass,Logistic Regression,"(137, 1600)",400,10,1,0.01,0.01,none,0,100000,0.514705882,species_recall
4.03,multiclass,Logistic Regression,"(137, 3199)",400,10,2,0.01,0.01,none,0,100000,0.514705882,species_recall
4.03,multiclass,Logistic Regression,"(137, 12558)",400,10,4,0.01,0.01,none,0,100000,0.338235294,species_recall
4.03,multiclass,Logistic Regression,"(137, 12586)",400,10,6,0.01,0.01,none,0,100000,0.279411765,species_recall
4.03,multiclass,Logistic Regression,"(137, 10003)",400,10,8,0.01,0.01,none,0,100000,0.132352941,species_recall
4.03,multiclass,Logistic Regression,"(137, 8033)",400,10,10,0.01,0.01,none,0,100000,0.220588235,species_recall
4.03,multiclass,Logistic Regression,"(137, 6631)",400,10,12,0.01,0.01,none,0,100000,0.235294118,species_recall
6.03,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,none,0,100,0.180515493,species_recall
6.03,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,none,0,100,0.438727087,species_recall
6.03,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,none,0,100,0.84786452,species_recall
6.03,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,none,0,100,0.966781427,species_recall
6.03,multiclass,Logistic Regression,"(21817, 77733)",100,400,8,0.01,0.01,none,0,100,0.961942868,species_recall
6.03,multiclass,Logistic Regression,"(21817, 73479)",100,400,10,0.01,0.01,none,0,100,0.95933749,species_recall
6.03,multiclass,Logistic Regression,"(21817, 59669)",100,400,12,0.01,0.01,none,0,100,0.951242207,species_recall
